City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
victoria,22.2855,114.1577,59.0,71.0,0.0,1.99,HK,1611957523.0
bonavista,48.6499,-53.1147,27.0,93.0,100.0,5.75,CA,1611957644.0
kampot,10.6167,104.1833,71.6,78.0,20.0,2.3,KH,1611957802.0
nemuro,43.3236,145.575,28.35,98.0,100.0,12.01,JP,1611957802.0
new norfolk,-42.7826,147.0587,66.99,87.0,54.0,2.77,AU,1611957641.0
nikolskoye,59.7035,30.7861,33.01,93.0,90.0,6.71,RU,1611957691.0
vardo,70.3705,31.1107,23.0,93.0,75.0,14.97,NO,1611957802.0
longyearbyen,78.2186,15.6401,-0.4,55.0,20.0,24.16,SJ,1611957803.0
cabo san lucas,22.8909,-109.9124,84.2,64.0,1.0,21.85,MX,1611957629.0
college,64.8569,-147.8028,5.0,71.0,75.0,4.61,US,1611957559.0
mar del plata,-38.0023,-57.5575,73.4,60.0,75.0,6.91,AR,1611957763.0
burgeo,47.6167,-57.6152,26.2,88.0,64.0,15.08,CA,1611957803.0
barrow,71.2906,-156.7887,-9.4,70.0,90.0,11.5,US,1611957804.0
torbay,47.6666,-52.7314,28.0,100.0,90.0,21.85,CA,1611957804.0
kargat,55.1956,80.2811,12.52,97.0,100.0,6.8,RU,1611957804.0
bambous virieux,-20.3428,57.7575,80.6,83.0,40.0,11.5,MU,1611957804.0
quatre cocos,-20.2078,57.7625,80.6,83.0,40.0,11.5,MU,1611957708.0
yatou,37.15,122.3833,32.05,90.0,0.0,7.78,CN,1611957762.0
san quintin,30.4833,-115.95,59.95,63.0,49.0,14.97,MX,1611957805.0
majene,-3.5403,118.9707,78.03,75.0,100.0,4.63,ID,1611957805.0
slusovice,49.2478,17.8015,37.99,91.0,100.0,3.0,CZ,1611957670.0
waw,7.7029,27.9953,76.46,18.0,39.0,7.09,SS,1611957805.0
tautira,-17.7333,-149.15,86.0,66.0,20.0,12.66,PF,1611957704.0
hilo,19.7297,-155.09,71.6,83.0,90.0,8.05,US,1611957661.0
labuhan,-6.8844,112.2051,77.25,88.0,100.0,18.3,ID,1611957806.0
arti,56.4234,58.5328,22.93,90.0,100.0,5.99,RU,1611957806.0
lebu,-37.6167,-73.65,58.44,92.0,94.0,3.42,CL,1611957651.0
ust-koksa,50.2696,85.6108,11.75,86.0,98.0,0.63,RU,1611957807.0
cidreira,-30.1811,-50.2056,78.24,87.0,90.0,8.72,BR,1611957750.0
illapel,-31.6308,-71.1653,76.01,41.0,7.0,10.09,CL,1611957807.0
chaumont,48.1167,5.1333,45.0,87.0,99.0,1.01,FR,1611957807.0
arkhara,49.4212,130.0842,-29.81,84.0,39.0,3.8,RU,1611957807.0
ewa beach,21.3156,-158.0072,80.6,50.0,20.0,10.36,US,1611957808.0
port elizabeth,-33.918,25.5701,62.6,82.0,40.0,5.75,ZA,1611957566.0
hithadhoo,-0.6,73.0833,81.5,75.0,62.0,9.98,MV,1611957572.0
santa isabel do rio negro,-0.4139,-65.0192,85.91,61.0,10.0,2.93,BR,1611957808.0
campbell river,50.0163,-125.2446,42.01,93.0,90.0,13.8,CA,1611957808.0
nome,64.5011,-165.4064,1.4,60.0,1.0,8.05,US,1611957809.0
itarema,-2.9248,-39.9167,80.26,78.0,95.0,12.24,BR,1611957809.0
karratha,-20.7377,116.8463,81.0,77.0,49.0,4.14,AU,1611957558.0
coihaique,-45.5752,-72.0662,62.6,39.0,20.0,10.36,CL,1611957769.0
nortelandia,-14.4547,-56.8028,79.52,82.0,94.0,4.03,BR,1611957810.0
thompson,55.7435,-97.8558,8.6,72.0,90.0,5.75,CA,1611957599.0
rawson,-43.3002,-65.1023,59.36,55.0,24.0,17.83,AR,1611957722.0
faanui,-16.4833,-151.75,80.69,69.0,63.0,5.79,PF,1611957815.0
sladkovo,55.5284,70.3385,8.91,94.0,90.0,4.83,RU,1611957815.0
darnah,32.767,22.6367,59.43,75.0,76.0,17.52,LY,1611957816.0
esperantinopolis,-4.8667,-44.7083,76.59,92.0,97.0,2.62,BR,1611957816.0
mbarara,-0.608,30.65,65.21,62.0,54.0,2.84,UG,1611957816.0
kropotkin,45.4375,40.5756,34.95,88.0,97.0,7.23,RU,1611957816.0
troitskoye,52.9821,84.6757,21.42,97.0,100.0,13.94,RU,1611957816.0
lorengau,-2.0226,147.2712,83.71,75.0,98.0,10.22,PG,1611957817.0
lakes entrance,-37.8811,147.981,66.0,95.0,87.0,1.01,AU,1611957795.0
san benedetto del tronto,42.9456,13.8816,45.0,81.0,0.0,9.33,IT,1611957817.0
xuddur,4.1213,43.8894,68.92,57.0,0.0,15.52,SO,1611957817.0
mineral wells,32.8085,-98.1128,64.4,48.0,1.0,17.27,US,1611957817.0
tazovskiy,67.4667,78.7,-37.43,79.0,0.0,6.15,RU,1611957818.0
waingapu,-9.6567,120.2641,78.49,82.0,85.0,13.4,ID,1611957818.0
kodiak,57.79,-152.4072,35.6,69.0,75.0,13.8,US,1611957818.0
lagoa,39.05,-27.9833,59.16,77.0,5.0,11.86,PT,1611957795.0
hobart,-42.8794,147.3294,66.99,82.0,20.0,6.91,AU,1611957818.0
klaksvik,62.2266,-6.589,33.8,64.0,90.0,4.61,FO,1611957819.0
rio gallegos,-51.6226,-69.2181,53.6,37.0,40.0,26.46,AR,1611957819.0
maryborough,-25.5333,152.7,77.0,81.0,32.0,4.0,AU,1611957819.0
takoradi,4.8845,-1.7554,79.0,84.0,95.0,4.81,GH,1611957819.0
hermanus,-34.4187,19.2345,61.0,90.0,87.0,3.69,ZA,1611957820.0
vila,42.0304,-8.1588,52.0,95.0,100.0,11.63,PT,1611957820.0
gvardeysk,54.6477,21.0651,30.99,100.0,75.0,8.95,RU,1611957820.0
saint george,37.1041,-113.5841,44.6,81.0,20.0,4.61,US,1611957579.0
quime,-16.9833,-67.2167,57.87,65.0,84.0,4.09,BO,1611957820.0
gavle,60.6745,17.1417,17.01,79.0,90.0,4.0,SE,1611957821.0
hermosillo,29.0667,-110.9667,72.0,40.0,75.0,12.66,MX,1611957821.0
yantai,37.5333,121.4,34.16,83.0,0.0,9.19,CN,1611957821.0
butaritari,3.0707,172.7902,80.71,74.0,94.0,17.16,KI,1611957821.0
te anau,-45.4167,167.7167,51.71,68.0,37.0,1.03,NZ,1611957821.0
saint-pierre,-21.3393,55.4781,78.8,65.0,0.0,6.91,RE,1611957578.0
laguna,38.421,-121.4238,53.01,71.0,90.0,3.44,US,1611957716.0
pangnirtung,66.1451,-65.7125,-9.4,77.0,1.0,2.3,CA,1611957695.0
mabaruma,8.2,-59.7833,75.81,84.0,87.0,4.07,GY,1611957817.0
grindavik,63.8424,-22.4338,32.0,80.0,40.0,6.91,IS,1611957563.0
melita,49.2681,-100.9967,21.0,87.0,100.0,11.01,CA,1611957824.0
alice springs,-23.7,133.8833,82.99,57.0,90.0,9.22,AU,1611957825.0
mubarakpur,26.09,83.2922,44.31,64.0,0.0,6.98,IN,1611957605.0
cape town,-33.9258,18.4232,69.01,82.0,20.0,9.22,ZA,1611957664.0
ushuaia,-54.8,-68.3,42.8,70.0,75.0,11.5,AR,1611957557.0
aleksandrov gay,50.147,48.5704,23.7,97.0,65.0,4.59,RU,1611957825.0
graaff-reinet,-32.2522,24.5308,63.0,75.0,17.0,4.0,ZA,1611957825.0
bredasdorp,-34.5322,20.0403,61.0,90.0,73.0,3.85,ZA,1611957826.0
lavrentiya,65.5833,-171.0,-15.72,82.0,0.0,12.93,RU,1611957643.0
lompoc,34.6391,-120.4579,53.01,93.0,75.0,3.44,US,1611957747.0
kavieng,-2.5744,150.7967,82.67,82.0,93.0,15.01,PG,1611957672.0
bandarbeyla,9.4942,50.8122,73.02,75.0,29.0,9.91,SO,1611957780.0
carnarvon,-24.8667,113.6333,77.0,83.0,1.0,5.75,AU,1611957789.0
janow lubelski,50.707,22.4104,21.99,94.0,90.0,4.61,PL,1611957534.0
athens,37.9795,23.7162,55.0,87.0,20.0,3.58,GR,1611957402.0
hofn,64.2539,-15.2082,21.2,86.0,0.0,4.61,IS,1611957832.0
wanning,18.8003,110.3967,65.98,82.0,97.0,5.79,CN,1611957833.0
novo oriente,-5.5344,-40.7742,74.32,82.0,98.0,5.3,BR,1611957833.0
dikson,73.5069,80.5464,-31.92,85.0,100.0,6.42,RU,1611957666.0
beringovskiy,63.05,179.3167,-16.19,85.0,11.0,10.0,RU,1611957833.0
nargana,9.4428,-78.5906,79.77,73.0,100.0,18.21,PA,1611957834.0
praia da vitoria,38.7333,-27.0667,57.2,88.0,20.0,6.62,PT,1611957834.0
kirsanov,52.6549,42.7224,30.9,97.0,90.0,16.44,RU,1611957834.0
tiksi,71.6872,128.8694,-31.49,84.0,100.0,4.23,RU,1611957834.0
havre-saint-pierre,50.2334,-63.5986,17.6,57.0,1.0,8.05,CA,1611957834.0
chama,47.1821,8.4636,46.4,71.0,90.0,12.66,CH,1611957835.0
ilulissat,69.2167,-51.1,-0.4,55.0,0.0,8.05,GL,1611957714.0
geraldton,-28.7667,114.6,80.6,26.0,0.0,24.16,AU,1611957835.0
puerto ayacucho,5.6639,-67.6236,88.18,51.0,26.0,5.41,VE,1611957836.0
guerrero negro,27.9769,-114.0611,66.67,57.0,0.0,16.2,MX,1611957836.0
saldanha,-33.0117,17.9442,64.74,89.0,0.0,11.63,ZA,1611957554.0
rabat,33.9911,-6.8401,60.01,100.0,1.0,2.37,MA,1611957803.0
port macquarie,-31.4333,152.9167,72.0,99.0,90.0,1.01,AU,1611957836.0
ukholovo,53.7929,40.4892,27.9,97.0,98.0,18.86,RU,1611957837.0
cururupu,-1.8283,-44.8683,78.66,81.0,93.0,5.61,BR,1611957837.0
port augusta,-32.5,137.7667,68.0,68.0,90.0,12.66,AU,1611957837.0
jodiya,22.6925,70.306,53.6,58.0,50.0,4.61,IN,1611957837.0
buraydah,26.326,43.975,59.0,44.0,0.0,5.75,SA,1611957737.0
huichapan,20.3833,-99.65,75.2,29.0,75.0,8.05,MX,1611957838.0
severo-kurilsk,50.6789,156.125,21.4,91.0,98.0,14.29,RU,1611957838.0
boa vista,2.8197,-60.6733,87.8,45.0,75.0,9.22,BR,1611957839.0
cartagena,10.3997,-75.5144,87.8,58.0,0.0,12.66,CO,1611957616.0
la ronge,55.1001,-105.2842,8.6,78.0,100.0,2.3,CA,1611957788.0
swedru,5.5371,-0.6998,82.4,74.0,20.0,5.75,GH,1611957839.0
sur,22.5667,59.5289,64.17,55.0,0.0,8.25,OM,1611957840.0
mahebourg,-20.4081,57.7,80.6,83.0,40.0,11.5,MU,1611957840.0
neiafu,-18.65,-173.9833,75.2,100.0,90.0,9.22,TO,1611957840.0
wewak,-3.5534,143.6268,79.41,83.0,99.0,3.96,PG,1611957612.0
avera,33.194,-82.5271,52.0,32.0,1.0,3.44,US,1611957645.0
launceston,-41.45,147.1667,64.0,100.0,75.0,11.5,AU,1611957841.0
nola,40.922,14.5329,57.2,82.0,20.0,12.66,IT,1611957600.0
bac lieu,9.285,105.7244,74.12,77.0,100.0,12.37,VN,1611957608.0
kavaratti,10.5669,72.642,80.22,73.0,12.0,9.42,IN,1611957841.0
hovd,48.0056,91.6419,11.03,80.0,100.0,0.54,MN,1611957846.0
noyabrsk,63.1994,75.4507,-41.64,80.0,18.0,7.54,RU,1611957847.0
axim,4.8699,-2.2405,78.21,87.0,74.0,3.89,GH,1611957847.0
hambantota,6.1241,81.1185,75.69,81.0,100.0,10.92,LK,1611957761.0
portland,45.5234,-122.6762,46.99,76.0,75.0,4.61,US,1611957186.0
greencastle,39.6445,-86.8647,37.0,60.0,1.0,8.05,US,1611957847.0
tilichiki,60.4667,166.1,-6.63,93.0,86.0,10.74,RU,1611957848.0
nioro,13.35,-15.75,77.76,15.0,14.0,4.41,GM,1611957848.0
talnakh,69.4865,88.3972,-31.97,66.0,1.0,2.01,RU,1611957848.0
san rafael,-34.6177,-68.3301,83.43,23.0,94.0,7.76,AR,1611957848.0
bela,25.9333,81.9833,45.21,58.0,0.0,7.47,IN,1611957848.0
trairi,-3.2778,-39.2689,80.4,77.0,100.0,9.8,BR,1611957849.0
clyde river,70.4692,-68.5914,-13.0,77.0,90.0,8.05,CA,1611957558.0
teya,60.3778,92.6267,-29.07,80.0,100.0,4.76,RU,1611957850.0
chowchilla,37.123,-120.2602,57.2,58.0,75.0,3.44,US,1611957850.0
saskylakh,71.9167,114.0833,-38.63,78.0,44.0,0.81,RU,1611957570.0
namibe,-15.1961,12.1522,74.41,73.0,38.0,8.3,AO,1611957716.0
tual,-5.6667,132.75,83.46,73.0,100.0,13.15,ID,1611957851.0
ponta delgada,37.7333,-25.6667,59.0,88.0,20.0,9.22,PT,1611957751.0
oranjestad,12.524,-70.027,80.6,74.0,20.0,18.41,AW,1611957611.0
okhotsk,59.3833,143.3,-13.63,84.0,0.0,5.48,RU,1611957851.0
camacha,33.0833,-16.3333,62.6,82.0,75.0,8.05,PT,1611957771.0
foki,56.693,54.3499,23.88,98.0,100.0,9.33,RU,1611957852.0
sao filipe,14.8961,-24.4956,75.45,55.0,83.0,9.28,CV,1611957665.0
horsham,51.064,-0.3272,46.99,81.0,75.0,8.05,GB,1611957852.0
cayenne,4.9333,-52.3333,78.8,100.0,75.0,1.14,GF,1611957608.0
onega,63.9061,38.1404,23.79,97.0,100.0,11.43,RU,1611957853.0
yushu,44.8,126.5333,-4.41,93.0,100.0,1.7,CN,1611957853.0
puerto boyaca,5.9758,-74.5885,86.79,61.0,62.0,3.2,CO,1611957853.0
sao joao de pirabas,-0.7747,-47.1772,79.66,80.0,100.0,9.71,BR,1611957853.0
wichian buri,15.6578,101.106,70.52,61.0,0.0,8.21,TH,1611957853.0
saint-philippe,-21.3585,55.7679,78.8,65.0,0.0,6.91,RE,1611957854.0
salvador,13.8333,-88.9167,96.8,21.0,0.0,12.66,SV,1611957722.0
chokurdakh,70.6333,147.9167,-24.74,86.0,100.0,7.65,RU,1611957854.0
codrington,-38.2667,141.9667,60.76,80.0,100.0,11.27,AU,1611957854.0
batemans bay,-35.7167,150.1833,69.01,97.0,100.0,5.99,AU,1611957854.0
chicama,-7.8447,-79.1469,73.4,78.0,20.0,12.66,PE,1611957756.0
evensk,61.95,159.2333,-4.97,83.0,99.0,13.38,RU,1611957855.0
moa,20.6569,-74.9403,71.08,79.0,98.0,10.47,CU,1611957855.0
ambilobe,-13.2,49.05,73.81,93.0,97.0,1.74,MG,1611957688.0
sainte-suzanne,-20.9061,55.6089,78.8,61.0,0.0,11.5,RE,1611957856.0
eenhana,-17.4667,16.3333,77.0,83.0,98.0,4.61,NA,1611957856.0
diego de almagro,-26.3667,-70.05,78.57,21.0,0.0,10.71,CL,1611957856.0
pijijiapan,15.7011,-93.23,92.98,22.0,68.0,4.07,MX,1611957604.0
airai,-8.9266,125.4092,61.68,100.0,100.0,4.12,TL,1611957670.0
pisco,-13.7,-76.2167,80.6,57.0,0.0,14.97,PE,1611957761.0
sinnamary,5.3833,-52.95,77.22,88.0,98.0,12.39,GF,1611957862.0
aksu,41.1231,80.2644,19.04,82.0,0.0,4.32,CN,1611957862.0
baghdogra,26.7,88.3167,56.77,56.0,0.0,2.73,IN,1611957862.0
kautokeino,69.0125,23.0412,-6.47,90.0,99.0,2.89,NO,1611957862.0
petropavlovsk-kamchatskiy,53.0452,158.6483,6.8,85.0,74.0,4.47,RU,1611957621.0
carauari,-4.8828,-66.8958,79.83,90.0,96.0,0.83,BR,1611957863.0
narsaq,60.9167,-46.05,44.6,29.0,75.0,25.32,GL,1611957863.0
santa cruz,-17.8,-63.1667,77.0,83.0,75.0,26.46,BO,1611957742.0
hamilton,39.1834,-84.5333,34.0,51.0,90.0,3.44,US,1611957609.0
vao,-22.6667,167.4833,75.67,76.0,97.0,22.28,NC,1611957772.0
sabang,5.8933,95.3214,81.79,74.0,78.0,20.11,ID,1611957864.0
aripuana,-9.1667,-60.6333,78.26,94.0,99.0,1.3,BR,1611957864.0
masyaf,35.0653,36.3406,55.4,44.0,40.0,17.27,SY,1611957740.0
flinders,-34.5833,150.8552,72.0,98.0,100.0,3.0,AU,1611957615.0
awbari,26.5921,12.7805,50.76,56.0,0.0,3.29,LY,1611957864.0
touros,-5.1989,-35.4608,80.6,74.0,20.0,12.66,BR,1611957789.0
monteria,8.748,-75.8814,84.88,63.0,90.0,13.78,CO,1611957610.0
antofagasta,-23.65,-70.4,69.8,64.0,20.0,12.66,CL,1611957803.0
moron,-34.6534,-58.6198,86.0,44.0,12.0,1.99,AR,1611957628.0
terney,45.0503,136.6092,-4.68,86.0,75.0,16.4,RU,1611957866.0
oron,4.8256,8.2343,80.26,82.0,32.0,5.12,NG,1611957866.0
mount gambier,-37.8333,140.7667,57.2,94.0,75.0,10.36,AU,1611957797.0
llanes,43.4198,-4.7549,58.57,68.0,89.0,7.29,ES,1611957866.0
greytown,-29.0642,30.5928,63.41,97.0,100.0,0.38,ZA,1611957866.0
romans-sur-isere,45.0464,5.0562,48.99,87.0,75.0,6.91,FR,1611957867.0
pemangkat,1.1667,108.9667,75.51,93.0,100.0,11.41,ID,1611957867.0
fortuna,40.5982,-124.1573,53.01,81.0,1.0,8.05,US,1611957634.0
pevek,69.7008,170.3133,-29.18,85.0,5.0,3.0,RU,1611957868.0
uren,57.4552,45.7852,23.34,98.0,100.0,7.0,RU,1611957868.0
platteville,42.7342,-90.4785,28.4,74.0,75.0,10.96,US,1611957868.0
meulaboh,4.1363,96.1285,74.34,88.0,100.0,6.8,ID,1611957868.0
bam,29.106,58.357,62.28,29.0,83.0,9.91,IR,1611957869.0
vostok,46.4856,135.8833,-18.54,89.0,100.0,2.19,RU,1611957869.0
alexandria,31.2156,29.9553,55.4,76.0,40.0,8.05,EG,1611957869.0
san patricio,28.017,-97.5169,75.2,56.0,75.0,16.11,US,1611957830.0
fuyu,45.1833,124.8167,-10.12,91.0,92.0,8.97,CN,1611957869.0
khatanga,71.9667,102.5,-44.0,74.0,0.0,2.64,RU,1611957870.0
copalillo,18.0333,-99.1167,89.01,23.0,84.0,1.01,MX,1611957870.0
mattru,7.6244,-11.8332,77.41,84.0,0.0,3.83,SL,1611957870.0
asfi,32.2994,-9.2372,58.98,85.0,0.0,6.24,MA,1611957870.0
shasta lake,40.6804,-122.3708,46.99,91.0,97.0,1.01,US,1611957871.0
lopatino,52.6195,45.8118,22.06,96.0,29.0,11.9,RU,1611957871.0
palmer,42.1584,-72.3287,16.0,45.0,20.0,14.97,US,1611957871.0
acapulco,16.8634,-99.8901,84.2,70.0,75.0,11.5,MX,1611957786.0
loiza,18.4313,-65.8802,78.8,69.0,20.0,5.75,PR,1611957876.0
kenai,60.5544,-151.2583,21.0,93.0,90.0,7.83,US,1611957843.0
ingham,42.6,-84.3833,23.0,58.0,1.0,5.75,US,1611957877.0
nago,26.5881,127.9761,55.4,81.0,75.0,6.91,JP,1611957877.0
road town,18.4167,-64.6167,78.01,73.0,20.0,3.44,VG,1611957877.0
moose factory,51.2585,-80.6094,1.4,78.0,90.0,5.75,CA,1611957802.0
menongue,-14.6585,17.691,61.95,94.0,100.0,3.85,AO,1611957878.0
sao felix do xingu,-6.6447,-51.995,77.49,83.0,53.0,2.06,BR,1611957878.0
alannay,18.0574,121.5776,64.47,91.0,98.0,2.48,PH,1611957878.0
husavik,66.0449,-17.3389,28.4,80.0,90.0,5.75,IS,1611957879.0
ostrovnoy,68.0531,39.5131,8.06,94.0,100.0,18.72,RU,1611957668.0
rovaniemi,66.5,25.7167,8.6,85.0,20.0,12.66,FI,1611957879.0
narsimhapur,22.95,79.2,45.52,53.0,0.0,1.57,IN,1611957879.0
uruguaiana,-29.7547,-57.0883,73.4,88.0,0.0,2.3,BR,1611957879.0
olafsvik,64.8945,-23.7142,33.21,94.0,100.0,2.46,IS,1611957880.0
tuy hoa,13.0833,109.3,66.79,88.0,96.0,6.85,VN,1611957662.0
dolores hidalgo,21.1561,-100.9308,72.0,39.0,56.0,3.06,MX,1611957880.0
chumikan,54.7183,135.315,-13.38,87.0,100.0,10.63,RU,1611957880.0
les cayes,18.2,-73.75,79.12,65.0,0.0,5.44,HT,1611957880.0
takhtamygda,54.1,123.5667,-34.53,80.0,56.0,2.55,RU,1611957881.0
leh,34.1667,77.5833,-0.62,65.0,20.0,2.35,IN,1611957881.0
iralaya,15.0,-83.2333,86.0,68.0,40.0,11.36,HN,1611957881.0
batamshinskiy,50.5594,58.2747,17.6,86.0,0.0,13.42,KZ,1611957881.0
ocean city,39.2776,-74.5746,27.0,36.0,1.0,27.63,US,1611957881.0
ulladulla,-35.35,150.4667,69.8,100.0,90.0,7.83,AU,1611957882.0
mersing,2.4312,103.8405,77.0,88.0,87.0,12.66,MY,1611957882.0
zhigansk,66.7697,123.3711,-45.35,77.0,82.0,9.37,RU,1611957706.0
waddan,29.1614,16.139,57.85,46.0,0.0,4.72,LY,1611957797.0
daru,-9.0763,143.2092,77.59,86.0,100.0,12.26,PG,1611957882.0
domoni,-12.2569,44.5319,80.37,77.0,98.0,6.73,KM,1611957883.0
plettenberg bay,-34.0527,23.3716,63.37,76.0,0.0,3.98,ZA,1611957883.0
natal,-5.795,-35.2094,82.4,74.0,20.0,12.66,BR,1611957883.0
roebourne,-20.7833,117.1333,80.89,77.0,63.0,3.83,AU,1611957883.0
zhezkazgan,47.8043,67.7144,13.51,94.0,38.0,12.01,KZ,1611957883.0
bathsheba,13.2167,-59.5167,77.0,78.0,40.0,13.8,BB,1611957884.0
qaqortoq,60.7167,-46.0333,44.6,29.0,75.0,25.32,GL,1611957814.0
chuy,-33.6971,-53.4616,74.93,74.0,2.0,6.11,UY,1611957751.0
soyo,-6.1349,12.3689,76.84,91.0,100.0,6.98,AO,1611957708.0
salta,-24.7859,-65.4117,89.6,31.0,20.0,10.36,AR,1611957885.0
bibiani,6.4635,-2.3194,73.81,89.0,81.0,4.81,GH,1611957612.0
homer,59.6425,-151.5483,27.0,74.0,1.0,3.44,US,1611957885.0
awjilah,29.1081,21.2869,56.28,67.0,0.0,8.99,LY,1611957885.0
caconda,-13.7333,15.0667,58.95,84.0,78.0,2.84,AO,1611957885.0
ola,59.5833,151.2833,-17.7,80.0,11.0,11.65,RU,1611957886.0
fairbanks,64.8378,-147.7164,5.0,77.0,1.0,2.21,US,1611957685.0
koungheul,13.9833,-14.8,79.47,14.0,46.0,8.46,SN,1611957886.0
oildale,35.4197,-119.0195,57.99,50.0,75.0,9.22,US,1611957886.0
kieta,-6.2167,155.6333,83.62,77.0,43.0,11.95,PG,1611957732.0
esperance,-33.8667,121.9,55.4,88.0,1.0,5.75,AU,1611957689.0
ust-tsilma,65.441,52.1498,-4.86,90.0,100.0,8.81,RU,1611957892.0
inta,66.0317,60.1659,-9.0,85.0,99.0,16.51,RU,1611957892.0
coffs harbour,-30.3,153.1333,73.4,88.0,90.0,5.75,AU,1611957892.0
bereda,43.2686,-7.5406,55.0,99.0,100.0,21.99,ES,1611957893.0
riohacha,11.5444,-72.9072,82.87,54.0,44.0,14.09,CO,1611957893.0
fushe-kruje,41.4783,19.7178,55.4,82.0,75.0,11.5,AL,1611957893.0
vestmannaeyjar,63.4427,-20.2734,36.61,79.0,97.0,7.92,IS,1611957893.0
lucapa,-8.4192,20.7447,65.75,94.0,81.0,1.63,AO,1611957692.0
